🕘️更新时间,#genre#
2025-08-05 06:45:48,http://125.42.148.80:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://125.42.148.80:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://116.233.63.217:5555/udp/239.45.3.145:5140
CCTV-1,http://117.8.143.120:8834/udp/225.1.1.120:5002
CCTV-1,http://116.233.38.0:8888/udp/239.45.3.145:5140
CCTV-1,http://89922050.xyz:61201/udp/239.1.1.7:8007
CCTV-1,http://www.lanyue168.cn:61201/udp/239.1.1.7:8007
CCTV-1,http://112.80.203.154:9003/hls/1/index.m3u8
CCTV-1,http://171.35.84.11:8688/udp/239.252.219.200:5140
CCTV-1,http://www.lizhinas.top:1009/udp/239.252.219.200:5140
CCTV-1,http://110.180.148.5:8933/udp/239.1.1.7:8007
CCTV-2,http://116.233.38.0:8888/udp/239.45.1.109:5140
CCTV-2,http://125.42.148.80:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://117.8.143.120:8834/udp/225.1.1.133:5002
CCTV-2,http://dsl1.oni2023.uk:8888/udp/239.77.1.158:5146
CCTV-2,http://123.174.106.183:8888/udp/239.1.1.8:8008
CCTV-2,http://171.35.84.11:8688/udp/239.252.220.183:5140
CCTV-2,http://110.180.148.5:8933/udp/239.1.1.8:8008
CCTV-2,http://112.80.203.154:9003/hls/2/index.m3u8
CCTV-2,http://219.141.44.110:8188/udp/238.255.2.11:5999
CCTV-2,http://8.138.7.223/tv/dl/douyincdn.php?id=2
CCTV-3,http://8.138.7.223/tv/dl/douyincdn.php?id=3
CCTV-3,http://125.42.148.80:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://117.8.143.120:8834/udp/225.1.1.158:5002
CCTV-3,http://116.233.63.217:5555/udp/239.45.1.68:5140
CCTV-3,http://112.80.203.154:9003/hls/3/index.m3u8
CCTV-3,http://116.233.38.0:8888/udp/239.45.1.68:5140
CCTV-3,http://171.35.84.11:8688/udp/239.252.219.252:5140
CCTV-3,http://www.lizhinas.top:1009/udp/239.252.219.252:5140
CCTV-3,http://111.196.131.153:20000/udp/239.3.1.172:8001
CCTV-3,http://110.180.148.5:8933/udp/239.1.1.9:8009
CCTV-4,http://125.42.148.80:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://112.80.203.154:9003/hls/4/index.m3u8
CCTV-4,http://117.8.143.120:8834/udp/225.1.1.150:5002
CCTV-4,http://116.233.63.217:5555/udp/239.45.0.2:5140
CCTV-4,http://171.35.84.11:8688/udp/239.252.220.184:5140
CCTV-4,http://dxf.us.kg:61201/udp/239.1.1.10:8010
CCTV-4,http://89922050.xyz:61201/udp/239.1.1.10:8010
CCTV-4,http://222.95.140.66:58888/udp/239.49.8.51:9806
CCTV-4,http://110.180.148.5:8933/udp/239.1.1.10:8010
CCTV-4,http://dsl1.oni2023.uk:8888/udp/239.77.0.78:5146
CCTV-5,http://116.233.63.217:5555/udp/239.45.1.69:5140
CCTV-5,http://112.80.203.154:9003/hls/5/index.m3u8
CCTV-5,http://117.8.143.120:8834/udp/225.1.1.160:5002
CCTV-5,http://116.233.38.0:8888/udp/239.45.1.69:5140
CCTV-5,http://myddns.com.cn:9999/udp/233.50.201.197:5140
CCTV-5,http://222.95.140.66:58888/udp/239.49.8.75:8000
CCTV-5,http://125.42.148.80:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://110.180.148.5:8933/udp/239.1.1.11:8011
CCTV-5,http://219.141.44.110:8188/udp/238.255.2.134:5999
CCTV-5,http://111.196.131.153:20000/udp/239.3.1.173:8001
CCTV-5+,http://117.8.143.120:8834/udp/225.1.1.121:5002
CCTV-5+,http://171.35.84.11:8688/udp/239.252.219.72:5140
CCTV-5+,http://219.141.44.110:8188/udp/238.255.2.185:5999
CCTV-5+,http://111.196.131.153:20000/udp/239.3.1.130:8004
CCTV-6,http://116.233.63.217:5555/udp/239.45.1.70:5140
CCTV-6,http://117.8.143.120:8834/udp/225.1.1.195:5002
CCTV-6,http://112.80.203.154:9003/hls/6/index.m3u8
CCTV-6,http://116.233.38.0:8888/udp/239.45.1.70:5140
CCTV-6,http://222.95.140.66:58888/udp/239.49.8.76:8000
CCTV-6,http://110.180.148.5:8933/udp/239.1.1.13:8013
CCTV-6,http://125.42.148.80:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://219.141.44.110:8188/udp/238.255.2.135:5999
CCTV-6,http://111.196.131.153:20000/udp/239.3.1.174:8001
CCTV-6,http://myddns.com.cn:9999/udp/233.50.200.109:5140
CCTV-7,http://125.42.148.80:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://116.233.63.217:5555/udp/239.45.3.56:5140
CCTV-7,http://117.8.143.120:8834/udp/225.1.1.138:5002
CCTV-7,http://112.80.203.154:9003/hls/7/index.m3u8
