Name: CCTV1, URL: http://www.dsmcloud.top:8888/udp/239.81.0.102:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 280 ms
Name: CCTV1, URL: http://202.168.187.208:9898/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 454 ms
Name: CCTV1, URL: http://123.166.61.70:8003/hls/11/index.m3u8, Date: None, Resolution: None, Response Time: 540 ms
Name: CCTV1, URL: http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602, Date: None, Resolution: None, Response Time: 3115 ms
Name: CCTV2, URL: http://www.dsmcloud.top:8888/udp/239.81.0.115:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 131 ms
Name: CCTV2, URL: http://www.dsmcloud.top:8888/udp/239.81.0.115:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 152 ms
Name: CCTV2, URL: http://202.168.187.208:9898/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 444 ms
Name: CCTV2, URL: http://123.166.61.70:8003/hls/12/index.m3u8, Date: None, Resolution: None, Response Time: 537 ms
Name: CCTV2, URL: http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000023315/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000023315, Date: None, Resolution: None, Response Time: 2969 ms
Name: CCTV3, URL: http://www.dsmcloud.top:8888/udp/239.81.1.4:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 247 ms
Name: CCTV3, URL: http://www.dsmcloud.top:8888/udp/239.81.0.231:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 260 ms
Name: CCTV3, URL: http://202.168.187.208:9898/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 451 ms
Name: CCTV3, URL: http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000013682/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000013682, Date: None, Resolution: None, Response Time: 2927 ms
Name: CCTV5+, URL: http://202.168.187.208:9898/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 451 ms
Name: CCTV5+, URL: http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031127/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031127, Date: None, Resolution: None, Response Time: 806 ms
Name: CCTV5, URL: http://www.dsmcloud.top:8888/udp/239.81.0.133:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 179 ms
Name: CCTV5, URL: http://www.dsmcloud.top:8888/udp/239.81.0.133:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 234 ms
Name: CCTV5, URL: http://www.dsmcloud.top:8888/udp/239.81.1.6:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 276 ms
Name: CCTV5, URL: http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 457 ms
Name: CCTV5, URL: http://202.168.187.208:9898/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 663 ms
Name: CCTV4, URL: http://www.dsmcloud.top:8888/udp/239.81.0.96:4056$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 179 ms
Name: CCTV4, URL: http://202.168.187.208:9898/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 512 ms
Name: CCTV4, URL: http://123.166.61.70:8003/hls/41/index.m3u8, Date: None, Resolution: None, Response Time: 573 ms
