央视频道,#genre#
CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1$1280x720
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2$1280x720
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3$1280x720
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4$1280x720
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5$1280x720
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p$1280x720
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6$1280x720
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7$1280x720
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8$1280x720
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9$1280x720
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10$1280x720
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11$1280x720
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12$1280x720
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13$1280x720
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14$1280x720
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15$1280x720
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17$1280x720
CCTV4美洲,http://101.200.122.188/tv/migu085.php?id=cctv4a$1280x720
CCTV4欧洲,http://101.200.122.188/tv/migu085.php?id=cctv4o$1280x720
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
高清央视,#genre#
卫视频道,#genre#
东方卫视,http://101.200.122.188/tv/migu085.php?id=dfws$1280x720
吉林卫视,http://101.200.122.188/tv/migu085.php?id=jlws$854x480
青海卫视,http://101.200.122.188/tv/migu085.php?id=qhws$854x480
河南卫视,http://101.200.122.188/tv/migu085.php?id=hnws$854x480
湖北卫视,http://101.200.122.188/tv/migu085.php?id=hubws$1280x720
江西卫视,http://101.200.122.188/tv/migu085.php?id=jxws$1280x720
江苏卫视,http://101.200.122.188/tv/migu085.php?id=jsws$1280x720
广东卫视,http://101.200.122.188/tv/migu085.php?id=gdws$854x480
大湾区卫视,http://101.200.122.188/tv/migu085.php?id=dwqws$854x480
海南卫视,http://101.200.122.188/tv/migu085.php?id=hinws$854x480
四海钓鱼,http://101.200.122.188/tv/migu085.php?id=shdy$1280x720
东方影视,http://101.200.122.188/tv/migu085.php?id=dfys$1280x720
嘉佳卡通,http://101.200.122.188/tv/migu085.php?id=jjkt$854x480
高清卫视,#genre#
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
🔥购买盒子,#genre#
人走盒还在,http://101.200.122.188/software.m3u8
IPV6央视,#genre#
IPV6卫视,#genre#
IPV6综合,#genre#
精品轮播,#genre#
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv$1920x1080
体育频道,#genre#
JJ斗地主,https://www.goodiptv.club/douyu/488743$1920x1080
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
虎牙轮播,#genre#
电影_犯罪片,https://www.goodiptv.club/huya/11352974$1920x1080
电影_高分动作,https://www.goodiptv.club/huya/11352884$1024x576
电影_搞笑喜剧,https://www.goodiptv.club/huya/11342423$1280x720
电影_欢笑影院,https://www.goodiptv.club/huya/11352894$1280x720
电影_许氏三杰,https://www.goodiptv.club/huya/11602033$1920x1080
电影_高能反转,https://www.goodiptv.club/huya/11352887$1920x1080
电影_喜乐影院,https://www.goodiptv.club/huya/21059580$1920x1080
电影_蘑菇影厅,https://www.goodiptv.club/huya/11601981$1280x720
电影_死神来了,https://www.goodiptv.club/huya/11352903$1024x576
剧集_新三国,https://www.goodiptv.club/huya/11352944$1280x720
剧集_雍正王朝,https://www.goodiptv.club/huya/11342439$640x480
剧集_爱情公寓,https://www.goodiptv.club/huya/11336726$1104x622
剧集_地下交通站,https://www.goodiptv.club/huya/11342433$576x432
剧集_邻里一家亲,https://www.goodiptv.club/huya/11342426$1024x576
解说_续哥说电影,https://www.goodiptv.club/huya/24396472$1920x1080
解说_鱼丸电影,https://www.goodiptv.club/huya/16615910$1920x1080
解说_大象放映室,https://www.goodiptv.club/huya/21277391$1920x1080
解说_小冉看电影,https://www.goodiptv.club/huya/17341907$1920x1080
解说_阿翔说电影,https://www.goodiptv.club/huya/16868935$1920x1080
解说_默爷侃电影,https://www.goodiptv.club/huya/17204307$1920x1080
许氏三杰,https://www.goodiptv.club/huya/11602033$1920x1080
周润发,https://www.goodiptv.club/huya/11342387$1280x688
李连杰,https://www.goodiptv.club/huya/11342390$1024x576
洪金宝,https://www.goodiptv.club/huya/11279251$1280x720
斗罗大陆,https://www.goodiptv.club/huya/11352906$1920x1080
楚汉骄雄,https://www.goodiptv.club/huya/23740156$844x476
天龙八部97版,https://www.goodiptv.club/huya/23903123$1920x1080
刑事侦缉档案,https://www.goodiptv.club/huya/23734169$1920x1080
法证先锋,https://www.goodiptv.club/huya/23863804$1920x1080
洗冤录,https://www.goodiptv.club/huya/23903130$1920x1080
倚天屠龙记,https://www.goodiptv.club/huya/23734246$960x720
鉴证实录,https://www.goodiptv.club/huya/23903183$640x480
