中央视频道,#genre#
CCTV1,http://101.200.122.188/tv/migu.php?id=cctv1$咪咕
CCTV2,http://101.200.122.188/tv/migu.php?id=cctv2$咪咕
CCTV3,http://101.200.122.188/tv/migu.php?id=cctv3$咪咕
CCTV4,http://101.200.122.188/tv/migu.php?id=cctv4$咪咕
CCTV5,http://101.200.122.188/tv/migu.php?id=cctv5$咪咕
CCTV5+,http://101.200.122.188/tv/migu.php?id=cctv5p$咪咕
CCTV6,http://101.200.122.188/tv/migu.php?id=cctv6$咪咕
CCTV7,http://101.200.122.188/tv/migu.php?id=cctv7$咪咕
CCTV8,http://101.200.122.188/tv/migu.php?id=cctv8$咪咕
CCTV9,http://101.200.122.188/tv/migu.php?id=cctv9$咪咕
CCTV10,http://101.200.122.188/tv/migu.php?id=cctv10$咪咕
CCTV11,http://101.200.122.188/tv/migu.php?id=cctv11$咪咕
CCTV12,http://101.200.122.188/tv/migu.php?id=cctv12$咪咕
CCTV13,http://101.200.122.188/tv/migu.php?id=cctv13$咪咕
CCTV14,http://101.200.122.188/tv/migu.php?id=cctv14$咪咕
CCTV15,http://101.200.122.188/tv/migu.php?id=cctv15$咪咕
CCTV17,http://101.200.122.188/tv/migu.php?id=cctv17$咪咕

CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1$咪咕
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2$咪咕
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3$咪咕
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4$咪咕
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5$咪咕
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p$咪咕
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6$咪咕
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7$咪咕
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8$咪咕
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9$咪咕
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10$咪咕
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11$咪咕
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12$咪咕
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13$咪咕
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14$咪咕
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15$咪咕
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17$咪咕



CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回放
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$可回放
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$可回放
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$可回放
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$可回放
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$可回放
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$可回放
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$可回放
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$可回放
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$可回放
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$可回放
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$可回放
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$可回放
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$可回放
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$可回放
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$可回放
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$可回放
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$可回放




卫视频道,#genre#
东方卫视,http://101.200.122.188/tv/migu.php?id=dfws$咪咕
重庆卫视,http://101.200.122.188/tv/migu.php?id=cqws$咪咕
辽宁卫视,http://101.200.122.188/tv/migu.php?id=lnws$咪咕
吉林卫视,http://101.200.122.188/tv/migu.php?id=jlws$咪咕
内蒙古卫视,http://101.200.122.188/tv/migu.php?id=nmws$咪咕
宁夏卫视,http://101.200.122.188/tv/migu.php?id=nxws$咪咕
甘肃卫视,http://101.200.122.188/tv/migu.php?id=gsws$咪咕
青海卫视,http://101.200.122.188/tv/migu.php?id=qhws$咪咕
陕西卫视,http://101.200.122.188/tv/migu.php?id=sxws$咪咕
山东卫视,http://101.200.122.188/tv/migu.php?id=sdws$咪咕
河南卫视,http://101.200.122.188/tv/migu.php?id=hnws$咪咕
湖北卫视,http://101.200.122.188/tv/migu.php?id=hubws$咪咕
湖南卫视,http://101.200.122.188/tv/migu.php?id=hunws$咪咕
江西卫视,http://101.200.122.188/tv/migu.php?id=jxws$咪咕
江苏卫视,http://101.200.122.188/tv/migu.php?id=jsws$咪咕
广东卫视,http://101.200.122.188/tv/migu.php?id=gdws$咪咕
大湾区卫视,http://101.200.122.188/tv/migu.php?id=dwqws$咪咕
广西卫视,http://101.200.122.188/tv/migu.php?id=gxws$咪咕
云南卫视,http://101.200.122.188/tv/migu.php?id=ynws$咪咕
贵州卫视,http://101.200.122.188/tv/migu.php?id=gzws$咪咕
新疆卫视,http://101.200.122.188/tv/migu.php?id=xjws$咪咕
海南卫视,http://101.200.122.188/tv/migu.php?id=hinws$咪咕
西藏卫视,http://101.200.122.188/tv/migu.php?id=xzws$咪咕
四海钓鱼,http://101.200.122.188/tv/migu.php?id=shdy$咪咕
东方影视,http://101.200.122.188/tv/migu.php?id=dfys$咪咕
广东影视,http://101.200.122.188/tv/migu.php?id=gdys$咪咕
嘉佳卡通,http://101.200.122.188/tv/migu.php?id=jjkt$咪咕

东方卫视,http://101.200.122.188/tv/migu085.php?id=dfws$咪咕
重庆卫视,http://101.200.122.188/tv/migu085.php?id=cqws$咪咕
辽宁卫视,http://101.200.122.188/tv/migu085.php?id=lnws$咪咕
吉林卫视,http://101.200.122.188/tv/migu085.php?id=jlws$咪咕
内蒙古卫视,http://101.200.122.188/tv/migu085.php?id=nmws$咪咕
宁夏卫视,http://101.200.122.188/tv/migu085.php?id=nxws$咪咕
甘肃卫视,http://101.200.122.188/tv/migu085.php?id=gsws$咪咕
青海卫视,http://101.200.122.188/tv/migu085.php?id=qhws$咪咕
陕西卫视,http://101.200.122.188/tv/migu085.php?id=sxws$咪咕
山东卫视,http://101.200.122.188/tv/migu085.php?id=sdws$咪咕
河南卫视,http://101.200.122.188/tv/migu085.php?id=hnws$咪咕
湖北卫视,http://101.200.122.188/tv/migu085.php?id=hubws$咪咕
湖南卫视,http://101.200.122.188/tv/migu085.php?id=hunws$咪咕
江西卫视,http://101.200.122.188/tv/migu085.php?id=jxws$咪咕
江苏卫视,http://101.200.122.188/tv/migu085.php?id=jsws$咪咕
广东卫视,http://101.200.122.188/tv/migu085.php?id=gdws$咪咕
大湾区卫视,http://101.200.122.188/tv/migu085.php?id=dwqws$咪咕
广西卫视,http://101.200.122.188/tv/migu085.php?id=gxws$咪咕
云南卫视,http://101.200.122.188/tv/migu085.php?id=ynws$咪咕
贵州卫视,http://101.200.122.188/tv/migu085.php?id=gzws$咪咕
新疆卫视,http://101.200.122.188/tv/migu085.php?id=xjws$咪咕
海南卫视,http://101.200.122.188/tv/migu085.php?id=hinws$咪咕
西藏卫视,http://101.200.122.188/tv/migu085.php?id=xzws$咪咕
四海钓鱼,http://101.200.122.188/tv/migu085.php?id=shdy$咪咕
东方影视,http://101.200.122.188/tv/migu085.php?id=dfys$咪咕
广东影视,http://101.200.122.188/tv/migu085.php?id=gdys$咪咕
嘉佳卡通,http://101.200.122.188/tv/migu085.php?id=jjkt$咪咕


北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8$可回放
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$可回放
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8$可回放
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$可回放
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8$可回放
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$可回放
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8$可回放
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$可回放
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$可回放
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$可回放
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$可回放
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$可回放
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$可回放
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8$可回放
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$可回放
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$可回放
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8$可回放
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$可回放
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$可回放
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$可回放
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$可回放
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8$可回放
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$可回放
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$可回放
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$可回放
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$可回放
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$可回放
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$可回放
