Name: 中央视频道, URL: #流派#, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台13套节目, URL: http://115.239.104.84:9999/udp/233.50.201.246:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 青海卫视, URL: http://101.200.122.188/tv/migu.php?id=qhws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 🎬 | 影视, URL: #类型#, Date: None, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://101.200.122.188/tv/migu.php?id=sxws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台3套节目, URL: http://112.46.85.60:8009/hls/3/index.m3u8, Date: None, Resolution: None, Response Time: 1576 ms
Name: 西藏卫视, URL: http://101.200.122.188/tv/migu.php?id=xzws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第二套节目, URL: http://112.46.85.60:8009/hls/502/index.m3u8, Date: None, Resolution: None, Response Time: 1582 ms
Name: 大湾区卫视, URL: http://101.200.122.188/tv/migu.php?id=dwqws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 宁夏卫视, URL: http://101.200.122.188/tv/migu.php?id=nxws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 嘉佳卡通, URL: http://101.200.122.188/tv/migu.php?id=jjkt$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 内蒙古卫视, URL: http://101.200.122.188/tv/migu.php?id=nmws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 新疆卫视, URL: http://101.200.122.188/tv/migu.php?id=xjws$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 广东影视, URL: http://101.200.122.188/tv/migu.php?id=gdys$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 东方影视, URL: http://101.200.122.188/tv/migu.php?id=dfys$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 四海钓鱼, URL: http://101.200.122.188/tv/migu.php?id=shdy$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江公共, URL: https://ali-ml.cztv.com/channels/lantian/channel007/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江国际, URL: https://ali-ml.cztv.com/channels/lantian/channel010/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江数码, URL: https://ali-ml.cztv.com/channels/lantian/channel012/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江教科, URL: https://ali-ml.cztv.com/channels/lantian/channel004/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江少儿, URL: https://ali-ml.cztv.com/channels/lantian/channel008/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江经济, URL: https://ali-ml.cztv.com/channels/lantian/channel003/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江民生, URL: https://ali-ml.cztv.com/channels/lantian/channel006/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江钱江, URL: https://ali-ml.cztv.com/channels/lantian/channel002/1080p.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台2套, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv2, Date: None, Resolution: None, Response Time: 4233 ms
Name: 杭州青少, URL: https://live3.hoolo.tv/hztv5/sd/live.m3u8?auth_key=1722753152-0-0-eaf6f0ff8a45482eb21edf61fd6b2473, Date: None, Resolution: None, Response Time: 3776 ms
Name: 杭州青少, URL: http://218.71.45.167:9999/rtp/233.50.201.177:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 杭州影视, URL: https://live3.hoolo.tv/hztv4/sd/live.m3u8?auth_key=1722753014-0-0-88d34cca543455a5da42443fc972401b, Date: None, Resolution: None, Response Time: 3779 ms
Name: 中央电视台5套节目, URL: http://112.46.85.60:8009/hls/503/index.m3u8, Date: None, Resolution: None, Response Time: 874 ms
Name: 中央电视台5套节目, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv5, Date: None, Resolution: None, Response Time: 4621 ms
Name: 杭州明珠, URL: https://live.hoolo.tv/hztv2/sd/live.m3u8?auth_key=1722752697-0-0-fd9e7c1024b4f78598b2e1477d14330d, Date: None, Resolution: None, Response Time: 5399 ms
Name: 杭州明珠, URL: http://218.71.45.167:9999/rtp/233.50.201.174:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 杭州生活, URL: https://live.hoolo.tv/hztv3/sd/live.m3u8?auth_key=1722752983-0-0-a7d2e0dc1eb9e84cf39cefcdd7f6f130, Date: None, Resolution: None, Response Time: 5400 ms
Name: 杭州生活, URL: http://218.71.45.167:9999/rtp/233.50.201.175:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 杭州综合, URL: https://live.hoolo.tv/hztv1/sd/live.m3u8?auth_key=1722752645-0-0-ef39d819d018788b0592dc519b7b2e5c, Date: None, Resolution: None, Response Time: 5580 ms
Name: 赵本山《蓝光版》, URL: http://q873658g36.vicp.fun:22222/yy.php?id=32160832, Date: None, Resolution: None, Response Time: 9859 ms
Name: 中央电视台4套节目, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv4, Date: None, Resolution: None, Response Time: 13978 ms
Name: 狂飙, URL: http://q873658g36.vicp.fun:22222/yy.php?id=1382754187, Date: None, Resolution: None, Response Time: 13482 ms
Name: 狂飙, URL: http://q873658g36.vicp.fun:22222/yy.php?id=1355142167, Date: None, Resolution: None, Response Time: 13508 ms
Name: 中央电视台4套, URL: http://123.120.200.46:8888/rtp/239.3.1.213:4220, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台4套, URL: http://123.120.200.46:8888/rtp/239.3.1.214:4220, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台4套, URL: http://61.52.29.182:13579/rtp/225.1.5.30:1333, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台4套, URL: http://183.184.15.103:8003/rtp/226.0.2.156:9160, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第四频道, URL: http://123.120.200.46:8888/rtp/239.3.1.105:8092, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第四频道, URL: http://61.52.29.182:13579/rtp/225.1.5.31:1342, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第四频道, URL: http://61.52.29.182:13579/rtp/225.1.5.32:1343, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第二套, URL: http://123.120.200.46:8888/rtp/239.3.1.60:8084, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台第二套, URL: http://61.52.29.182:13579/rtp/225.1.4.74:1103, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台一套, URL: http://115.239.104.84:9999/udp/233.50.200.130:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台一套, URL: http://115.239.104.84:9999/udp/233.50.201.118:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台一套, URL: http://115.239.104.84:9999/udp/233.50.201.222:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台一套, URL: http://183.184.15.103:8003/rtp/226.0.2.153:9136, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台一套, URL: http://183.184.15.103:8003/rtp/226.0.2.16:8040, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台17频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv17, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台17频道, URL: http://123.120.200.46:8888/rtp/239.3.1.151:8144, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台17频道, URL: http://61.52.29.182:13579/rtp/225.1.4.226:2506, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台17频道, URL: http://183.184.15.103:8003/rtp/226.0.2.170:9272, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台16套, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv16, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台16套, URL: http://123.120.200.46:8888/rtp/239.3.1.184:8001, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台16套, URL: http://183.184.15.103:8003/rtp/226.0.2.169:9264, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台15频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv15, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台15频道, URL: http://123.120.200.46:8888/rtp/239.3.1.153:8136, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台14频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv14, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台14频道, URL: http://115.239.104.84:9999/udp/233.50.200.20:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台14频道, URL: http://115.239.104.84:9999/udp/233.50.201.124:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台14频道, URL: http://61.52.29.182:13579/rtp/225.1.4.80:1109, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台14频道, URL: http://183.184.15.103:8003/rtp/226.0.2.166:9240, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台13频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv13, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台13频道, URL: http://61.52.29.182:13579/rtp/225.1.4.113:1293, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台13频道, URL: http://183.184.15.103:8003/rtp/226.0.2.165:9232, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://27.11.63.118:8001/udp/225.0.4.131:7980, Date: None, Resolution: None, Response Time: 942 ms
Name: CCTV9, URL: http://171.118.170.147:8084/rtp/226.0.2.161:9200, Date: None, Resolution: None, Response Time: 945 ms
Name: CCTV9, URL: http://27.11.63.118:8002/udp/225.0.4.131:7980, Date: None, Resolution: None, Response Time: 1840 ms
Name: CCTV9, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv9, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://101.200.122.188/tv/migu.php?id=cctv9$咪咕, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$可回放, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://115.239.104.84:9999/udp/233.50.201.121:5140, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://110.7.128.2:8096/tsfile/live/0009_1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://183.184.15.103:8001/rtp/226.0.2.161:9200, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://183.184.15.103:8002/rtp/226.0.2.161:9200, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://42.231.182.119:8089/rtp/225.1.4.77:1106, Date: None, Resolution: None, Response Time: inf ms
